metric,x_label,x_value,accrual_months,total_n
binary_cure_flag,absolute_lift_pp,14.019,4.2137,
binary_cure_flag,absolute_lift_pp,14.101,4.1644,
binary_cure_flag,absolute_lift_pp,14.182,4.1159,
binary_cure_flag,absolute_lift_pp,14.264,4.0682,
binary_cure_flag,absolute_lift_pp,14.346,4.0214,
binary_cure_flag,absolute_lift_pp,14.428,3.9753,
binary_cure_flag,absolute_lift_pp,14.509,3.9300,
binary_cure_flag,absolute_lift_pp,14.591,3.8855,
binary_cure_flag,absolute_lift_pp,14.673,3.8417,
binary_cure_flag,absolute_lift_pp,14.755,3.7986,
binary_cure_flag,absolute_lift_pp,14.836,3.7563,
binary_cure_flag,absolute_lift_pp,14.918,3.7146,
binary_cure_flag,absolute_lift_pp,15.000,3.6736,
continuous_recovery_ratio,cohens_d,0.1500,14.8646,
continuous_recovery_ratio,cohens_d,0.1541,14.0874,
continuous_recovery_ratio,cohens_d,0.1582,13.3697,
continuous_recovery_ratio,cohens_d,0.1623,12.7056,
continuous_recovery_ratio,cohens_d,0.1664,12.0898,
continuous_recovery_ratio,cohens_d,0.1704,11.5177,
continuous_recovery_ratio,cohens_d,0.1745,10.9854,
continuous_recovery_ratio,cohens_d,0.1786,10.4893,
continuous_recovery_ratio,cohens_d,0.1827,10.0260,
continuous_recovery_ratio,cohens_d,0.1868,9.5929,
continuous_recovery_ratio,cohens_d,0.1909,9.1872,
continuous_recovery_ratio,cohens_d,0.1950,8.8069,
continuous_recovery_ratio,cohens_d,0.1991,8.4497,
continuous_recovery_ratio,cohens_d,0.2031,8.1138,
continuous_recovery_ratio,cohens_d,0.2072,7.7977,
continuous_recovery_ratio,cohens_d,0.2113,7.4997,
continuous_recovery_ratio,cohens_d,0.2154,7.2185,
continuous_recovery_ratio,cohens_d,0.2195,6.9529,
continuous_recovery_ratio,cohens_d,0.2236,6.7017,
continuous_recovery_ratio,cohens_d,0.2277,6.4639,
continuous_recovery_ratio,cohens_d,0.2318,6.2386,
continuous_recovery_ratio,cohens_d,0.2358,6.0249,
continuous_recovery_ratio,cohens_d,0.2399,5.8221,
continuous_recovery_ratio,cohens_d,0.2440,5.6293,
continuous_recovery_ratio,cohens_d,0.2481,5.4460,
continuous_recovery_ratio,cohens_d,0.2522,5.2715,
continuous_recovery_ratio,cohens_d,0.2563,5.1054,
continuous_recovery_ratio,cohens_d,0.2604,4.9469,
continuous_recovery_ratio,cohens_d,0.2645,4.7958,
continuous_recovery_ratio,cohens_d,0.2686,4.6515,
continuous_recovery_ratio,cohens_d,0.2726,4.5137,
continuous_recovery_ratio,cohens_d,0.2767,4.3819,
continuous_recovery_ratio,cohens_d,0.2808,4.2559,
continuous_recovery_ratio,cohens_d,0.2849,4.1352,
continuous_recovery_ratio,cohens_d,0.2890,4.0196,
continuous_recovery_ratio,cohens_d,0.2931,3.9089,
continuous_recovery_ratio,cohens_d,0.2972,3.8026,
continuous_recovery_ratio,cohens_d,0.3013,3.7007,
continuous_recovery_ratio,cohens_d,0.3053,3.6028,
continuous_recovery_ratio,cohens_d,0.3094,3.5088,
continuous_recovery_ratio,cohens_d,0.3135,3.4184,
continuous_recovery_ratio,cohens_d,0.3176,3.3315,
continuous_recovery_ratio,cohens_d,0.3217,3.2479,
continuous_recovery_ratio,cohens_d,0.3258,3.1674,
continuous_recovery_ratio,cohens_d,0.3299,3.0899,
continuous_recovery_ratio,cohens_d,0.3340,3.0152,
continuous_recovery_ratio,cohens_d,0.3381,2.9432,
continuous_recovery_ratio,cohens_d,0.3421,2.8738,
continuous_recovery_ratio,cohens_d,0.3462,2.8068,
continuous_recovery_ratio,cohens_d,0.3503,2.7422,
continuous_recovery_ratio,cohens_d,0.3544,2.6798,
continuous_recovery_ratio,cohens_d,0.3585,2.6195,
continuous_recovery_ratio,cohens_d,0.3626,2.5612,
continuous_recovery_ratio,cohens_d,0.3667,2.5049,
continuous_recovery_ratio,cohens_d,0.3708,2.4504,
continuous_recovery_ratio,cohens_d,0.3748,2.3977,
continuous_recovery_ratio,cohens_d,0.3789,2.3467,
continuous_recovery_ratio,cohens_d,0.3830,2.2973,
continuous_recovery_ratio,cohens_d,0.3871,2.2494,
continuous_recovery_ratio,cohens_d,0.3912,2.2031,
continuous_recovery_ratio,cohens_d,0.3953,2.1582,
continuous_recovery_ratio,cohens_d,0.3994,2.1147,
continuous_recovery_ratio,cohens_d,0.4035,2.0725,
continuous_recovery_ratio,cohens_d,0.4075,2.0315,
continuous_recovery_ratio,cohens_d,0.4116,1.9918,
continuous_recovery_ratio,cohens_d,0.4157,1.9532,
continuous_recovery_ratio,cohens_d,0.4198,1.9157,
continuous_recovery_ratio,cohens_d,0.4239,1.8794,
continuous_recovery_ratio,cohens_d,0.4280,1.8440,
continuous_recovery_ratio,cohens_d,0.4321,1.8097,
continuous_recovery_ratio,cohens_d,0.4362,1.7763,
continuous_recovery_ratio,cohens_d,0.4403,1.7439,
continuous_recovery_ratio,cohens_d,0.4443,1.7123,
continuous_recovery_ratio,cohens_d,0.4484,1.6816,
continuous_recovery_ratio,cohens_d,0.4525,1.6517,
continuous_recovery_ratio,cohens_d,0.4566,1.6227,
continuous_recovery_ratio,cohens_d,0.4607,1.5944,
continuous_recovery_ratio,cohens_d,0.4648,1.5668,
continuous_recovery_ratio,cohens_d,0.4689,1.5400,
continuous_recovery_ratio,cohens_d,0.4730,1.5138,
continuous_recovery_ratio,cohens_d,0.4770,1.4884,
continuous_recovery_ratio,cohens_d,0.4811,1.4635,
continuous_recovery_ratio,cohens_d,0.4852,1.4393,
continuous_recovery_ratio,cohens_d,0.4893,1.4157,
continuous_recovery_ratio,cohens_d,0.4934,1.3927,
continuous_recovery_ratio,cohens_d,0.4975,1.3703,
continuous_recovery_ratio,cohens_d,0.5016,1.3484,
continuous_recovery_ratio,cohens_d,0.5057,1.3270,
continuous_recovery_ratio,cohens_d,0.5097,1.3061,
continuous_recovery_ratio,cohens_d,0.5138,1.2858,
continuous_recovery_ratio,cohens_d,0.5179,1.2659,
continuous_recovery_ratio,cohens_d,0.5220,1.2464,
continuous_recovery_ratio,cohens_d,0.5261,1.2275,
continuous_recovery_ratio,cohens_d,0.5302,1.2089,
continuous_recovery_ratio,cohens_d,0.5343,1.1908,
continuous_recovery_ratio,cohens_d,0.5384,1.1731,
continuous_recovery_ratio,cohens_d,0.5425,1.1558,
continuous_recovery_ratio,cohens_d,0.5465,1.1389,
continuous_recovery_ratio,cohens_d,0.5506,1.1224,
continuous_recovery_ratio,cohens_d,0.5547,1.1062,
continuous_recovery_ratio,cohens_d,0.5588,1.0904,
continuous_recovery_ratio,cohens_d,0.5629,1.0749,
continuous_recovery_ratio,cohens_d,0.5670,1.0598,
continuous_recovery_ratio,cohens_d,0.5711,1.0450,
continuous_recovery_ratio,cohens_d,0.5752,1.0305,
continuous_recovery_ratio,cohens_d,0.5792,1.0163,
continuous_recovery_ratio,cohens_d,0.5833,1.0024,
continuous_recovery_ratio,cohens_d,0.5874,0.9888,
continuous_recovery_ratio,cohens_d,0.5915,0.9754,
continuous_recovery_ratio,cohens_d,0.5956,0.9624,
continuous_recovery_ratio,cohens_d,0.5997,0.9496,
continuous_recovery_ratio,cohens_d,0.6038,0.9371,
continuous_recovery_ratio,cohens_d,0.6079,0.9248,
continuous_recovery_ratio,cohens_d,0.6119,0.9128,
continuous_recovery_ratio,cohens_d,0.6160,0.9010,
continuous_recovery_ratio,cohens_d,0.6201,0.8894,
continuous_recovery_ratio,cohens_d,0.6242,0.8781,
continuous_recovery_ratio,cohens_d,0.6283,0.8670,
continuous_recovery_ratio,cohens_d,0.6324,0.8561,
continuous_recovery_ratio,cohens_d,0.6365,0.8454,
continuous_recovery_ratio,cohens_d,0.6406,0.8349,
continuous_recovery_ratio,cohens_d,0.6447,0.8246,
continuous_recovery_ratio,cohens_d,0.6487,0.8145,
continuous_recovery_ratio,cohens_d,0.6528,0.8046,
continuous_recovery_ratio,cohens_d,0.6569,0.7949,
continuous_recovery_ratio,cohens_d,0.6610,0.7854,
continuous_recovery_ratio,cohens_d,0.6651,0.7760,
continuous_recovery_ratio,cohens_d,0.6692,0.7668,
continuous_recovery_ratio,cohens_d,0.6733,0.7578,
continuous_recovery_ratio,cohens_d,0.6774,0.7489,
continuous_recovery_ratio,cohens_d,0.6814,0.7402,
continuous_recovery_ratio,cohens_d,0.6855,0.7317,
continuous_recovery_ratio,cohens_d,0.6896,0.7233,
continuous_recovery_ratio,cohens_d,0.6937,0.7151,
continuous_recovery_ratio,cohens_d,0.6978,0.7070,
continuous_recovery_ratio,cohens_d,0.7019,0.6990,
continuous_recovery_ratio,cohens_d,0.7060,0.6912,
continuous_recovery_ratio,cohens_d,0.7101,0.6835,
continuous_recovery_ratio,cohens_d,0.7142,0.6759,
continuous_recovery_ratio,cohens_d,0.7182,0.6685,
continuous_recovery_ratio,cohens_d,0.7223,0.6612,
continuous_recovery_ratio,cohens_d,0.7264,0.6540,
continuous_recovery_ratio,cohens_d,0.7305,0.6470,
continuous_recovery_ratio,cohens_d,0.7346,0.6400,
continuous_recovery_ratio,cohens_d,0.7387,0.6332,
continuous_recovery_ratio,cohens_d,0.7428,0.6265,
continuous_recovery_ratio,cohens_d,0.7469,0.6199,
continuous_recovery_ratio,cohens_d,0.7509,0.6134,
continuous_recovery_ratio,cohens_d,0.7550,0.6070,
continuous_recovery_ratio,cohens_d,0.7591,0.6007,
continuous_recovery_ratio,cohens_d,0.7632,0.5945,
continuous_recovery_ratio,cohens_d,0.7673,0.5884,
continuous_recovery_ratio,cohens_d,0.7714,0.5825,
continuous_recovery_ratio,cohens_d,0.7755,0.5766,
continuous_recovery_ratio,cohens_d,0.7796,0.5708,
continuous_recovery_ratio,cohens_d,0.7836,0.5651,
continuous_recovery_ratio,cohens_d,0.7877,0.5594,
continuous_recovery_ratio,cohens_d,0.7918,0.5539,
continuous_recovery_ratio,cohens_d,0.7959,0.5484,
continuous_recovery_ratio,cohens_d,0.8000,0.5431,
